                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,             _timestamp,               _runtime
                    101,                0.57227,                0.42975,                0.98363,                0.99637,                      1,                  0.995,                0.92284,                0.63542,                0.59397,                 1.1451,             0.00075002,             0.00075002,             0.00075002,             1.6894e+09,                    240
                    102,                0.55622,                0.44876,                 0.9232,                0.99627,                      1,                  0.995,                 0.9132,                0.64164,                0.59765,                 1.0535,             0.00074548,             0.00074548,             0.00074548,             1.6894e+09,                    242
                    103,                0.52503,                0.44935,                0.95909,                0.99627,                      1,                  0.995,                 0.9132,                0.64164,                0.59765,                 1.0535,              0.0007409,              0.0007409,              0.0007409,             1.6894e+09,                    244
                    104,                0.50872,                0.40527,                0.92007,                0.99622,                      1,                  0.995,                0.89678,                0.66279,                0.58185,                 1.0415,              0.0007363,              0.0007363,              0.0007363,             1.6894e+09,                    246
                    105,                0.58397,                0.45778,                0.94983,                0.99622,                      1,                  0.995,                0.89678,                0.66279,                0.58185,                 1.0415,             0.00073167,             0.00073167,             0.00073167,             1.6894e+09,                    247
                    106,                0.59251,                0.47996,                 0.9456,                0.99617,                      1,                  0.995,                0.89498,                0.69669,                0.56963,                 1.0215,             0.00072702,             0.00072702,             0.00072702,             1.6894e+09,                    249
                    107,                0.51783,                0.42719,                0.96931,                0.99617,                      1,                  0.995,                0.89498,                0.69669,                0.56963,                 1.0215,             0.00072235,             0.00072235,             0.00072235,             1.6894e+09,                    251
                    108,                0.55566,                0.43316,                0.94929,                0.99613,                      1,                  0.995,                0.90585,                 0.6618,                0.54191,                0.99076,             0.00071764,             0.00071764,             0.00071764,             1.6894e+09,                    252
                    109,                0.51124,                0.43745,                0.96018,                0.99613,                      1,                  0.995,                0.90585,                 0.6618,                0.54191,                0.99076,             0.00071292,             0.00071292,             0.00071292,             1.6894e+09,                    254
                    110,                0.57121,                0.44011,                0.96892,                0.99592,                      1,                  0.995,                0.88011,                0.62433,                 0.5147,                0.97349,             0.00070817,             0.00070817,             0.00070817,             1.6894e+09,                    256
                    111,                0.57517,                0.44022,                0.97009,                0.99592,                      1,                  0.995,                0.88011,                0.62433,                 0.5147,                0.97349,              0.0007034,              0.0007034,              0.0007034,             1.6894e+09,                    257
                    112,                0.52135,                0.42871,                0.96479,                0.99581,                      1,                  0.995,                0.90049,                 0.5551,                0.50254,                0.97433,              0.0006986,              0.0006986,              0.0006986,             1.6894e+09,                    259
                    113,                0.55282,                0.43334,                0.96433,                0.99581,                      1,                  0.995,                0.90049,                 0.5551,                0.50254,                0.97433,             0.00069379,             0.00069379,             0.00069379,             1.6894e+09,                    260
                    114,                0.53449,                0.41552,                0.94447,                0.99568,                      1,                  0.995,                 0.9273,                0.54008,                0.49708,                0.95816,             0.00068895,             0.00068895,             0.00068895,             1.6894e+09,                    262
                    115,                0.55259,                0.41302,                0.95424,                0.99568,                      1,                  0.995,                 0.9273,                0.54008,                0.49708,                0.95816,             0.00068409,             0.00068409,             0.00068409,             1.6894e+09,                    264
                    116,                0.60633,                0.42906,                  0.936,                0.99621,                      1,                  0.995,                0.91963,                0.54931,                0.51965,                0.94456,             0.00067922,             0.00067922,             0.00067922,             1.6894e+09,                    265
                    117,                0.52062,                 0.4255,                0.85489,                0.99621,                      1,                  0.995,                0.91963,                0.54931,                0.51965,                0.94456,             0.00067432,             0.00067432,             0.00067432,             1.6894e+09,                    267
                    118,                0.50537,                0.41947,                0.86987,                0.99659,                      1,                  0.995,                0.92158,                0.53983,                 0.5109,                0.92409,              0.0006694,              0.0006694,              0.0006694,             1.6894e+09,                    269
                    119,                0.53268,                0.44946,                0.92058,                0.99659,                      1,                  0.995,                0.92158,                0.53983,                 0.5109,                0.92409,             0.00066447,             0.00066447,             0.00066447,             1.6894e+09,                    270
                    120,                0.57502,                0.43754,                0.94006,                0.99674,                      1,                  0.995,                0.92484,                0.54218,                0.50267,                0.90731,             0.00065951,             0.00065951,             0.00065951,             1.6894e+09,                    273
                    121,                0.49834,                0.39717,                0.98641,                0.99674,                      1,                  0.995,                0.92484,                0.54218,                0.50267,                0.90731,             0.00065454,             0.00065454,             0.00065454,             1.6894e+09,                    275
